MonthlyIncome_log,Age,OverTime,DailyRate,DistanceFromHome,TotalWorkingYears,MonthlyRate,EmployeeNumber,HourlyRate,YearsAtCompany_log,PercentSalaryHike,NumCompaniesWorked_log,YearsWithCurrManager_log,EnvironmentSatisfaction,StockOptionLevel_log,YearsInCurrentRole_log,WorkLifeBalance,YearsSinceLastPromotion_sqrt,RelationshipSatisfaction,JobInvolvement,JobSatisfaction,TrainingTimesLastYear_sqrt,MaritalStatus,JobLevel,Education,BusinessTravel,Low_Income_Experience_Ratio,Work_Burden_Score,Career_Stagnation,Job_Hopper,Low_Company_Investment,Overall_Satisfaction,Total_Engagement,Work_Life_Imbalance,Manager_Issues,Promotion_Delay_Ratio,Total_Compensation_Score,Underpaid,Career_Plateau,Young_Talent_Risk,Burnout_Risk,New_Employee,High_Mobility,Age_Satisfaction_Interact,OT_Distance_Interact,Travel_Family_Impact
8.69851424787661,41.0,1,1102.0,1.0,8.0,19479.0,1.0,94.0,1.9459101490553128,11.0,2.19722457733622,1.791759469228055,2.0,0.0,1.6094379124341005,1.0,0.0,1.0,3.0,4.0,0.0,2,2.0,2.0,2,0.9665015830974011,0.1,0.0,1,1,2.3,12.0,5.1,0,0.0,0.7203908647732506,0,0,0,0,0,0,-1.7000000000000002,1.0,0
7.645397699428633,37.0,1,1373.0,2.0,7.0,2396.0,4.0,92.0,0.0,15.0,1.9459101490553128,0.0,4.0,0.0,0.0,3.0,0.0,2.0,2.0,3.0,1.7320508075688772,2,1.0,2.0,2,0.9556747124285792,0.2,0.0,1,0,3.0999999999999996,6.0,3.2,1,0.0,0.4911382895356495,0,0,0,0,1,0,2.700000000000001,2.0,0
7.975908360165538,33.0,1,1392.0,3.0,8.0,23159.0,5.0,56.0,2.19722457733622,11.0,0.6931471805599453,0.0,4.0,0.0,2.079441541679836,3.0,1.7320508075688772,3.0,3.0,3.0,1.7320508075688772,1,1.0,4.0,1,0.886212040018393,0.3,5.5377554111542615,0,0,3.25,9.0,3.3,0,0.5417357353770694,0.6054984089193984,0,0,0,0,0,0,5.25,3.0,1
8.15162164696975,27.0,0,591.0,2.0,6.0,16632.0,7.0,40.0,1.0986122886681096,12.0,2.302585092994046,1.0986122886681096,1.0,0.6931471805599453,1.0986122886681096,3.0,1.4142135623730951,4.0,3.0,2.0,1.7320508075688772,1,1.0,1.0,2,1.1645173781385356,0.0,2.9678859607972816,1,0,2.3,6.0,1.2,0,0.6738803398843289,0.356032760523026,0,0,0,0,0,0,22.1,0.0,2
8.029107054619736,32.0,0,1005.0,2.0,8.0,11864.0,8.0,79.0,2.079441541679836,13.0,0.0,1.9459101490553128,4.0,0.0,2.079441541679836,2.0,1.7320508075688772,3.0,3.0,4.0,1.4142135623730951,2,1.0,2.0,1,0.8921230060688595,0.0,5.333749209127708,0,0,3.3499999999999996,12.0,2.2,0,0.562456141519752,0.5100122120757731,0,0,0,0,0,0,5.200000000000003,0.0,0
7.890208213109961,59.0,1,1324.0,3.0,12.0,9964.0,10.0,81.0,0.6931471805599453,20.0,1.6094379124341005,0.0,3.0,1.3862943611198906,0.0,2.0,0.0,1.0,4.0,1.0,1.7320508075688772,1,1.0,3.0,2,0.6069390933161508,0.3,0.0,1,0,1.75,4.0,4.3,1,0.0,0.5420953187074716,0,0,0,0,1,0,-42.75,3.0,2
7.898782356970309,30.0,0,1358.0,24.0,1.0,13335.0,11.0,67.0,0.6931471805599453,22.0,0.6931471805599453,0.0,4.0,0.6931471805599453,0.0,3.0,0.0,2.0,3.0,3.0,1.4142135623730951,0,1.0,1.0,2,3.9493911784851545,0.0,0.0,0,0,3.0999999999999996,9.0,3.4,1,0.0,0.5328254155530987,0,0,0,0,1,1,9.000000000000004,0.0,4
9.16188515170678,38.0,0,216.0,23.0,10.0,8787.0,12.0,44.0,2.302585092994046,21.0,0.0,2.19722457733622,4.0,0.0,2.079441541679836,3.0,1.0,2.0,2.0,3.0,1.4142135623730951,2,3.0,3.0,1,0.8328986501551618,0.0,3.302585092994046,0,0,3.0999999999999996,6.0,3.3,0,0.30279310656411385,0.31955245182902425,1,0,0,0,0,0,1.8000000000000007,0.0,0
8.563695025067657,36.0,0,1299.0,27.0,17.0,16577.0,13.0,94.0,2.079441541679836,13.0,1.9459101490553128,2.079441541679836,3.0,1.0986122886681096,2.079441541679836,2.0,2.6457513110645907,2.0,3.0,3.0,1.7320508075688772,1,2.0,3.0,2,0.47576083472598096,0.0,8.147436496246192,1,0,2.5999999999999996,9.0,4.7,0,0.8591659478690193,0.7138243899732376,0,1,0,0,0,0,5.600000000000001,0.0,2
7.794411205726601,35.0,0,809.0,16.0,6.0,16479.0,14.0,84.0,1.791759469228055,13.0,0.0,1.3862943611198906,1.0,0.6931471805599453,1.6094379124341005,3.0,0.0,3.0,4.0,2.0,2.23606797749979,1,1.0,3.0,2,1.1134873151038003,0.0,0.0,0,0,2.15,8.0,2.6,0,0.0,0.5170294255185369,0,0,0,0,0,0,9.25,0.0,2
8.341410211461865,29.0,1,153.0,15.0,10.0,12682.0,15.0,49.0,2.302585092994046,12.0,0.0,2.19722457733622,4.0,0.0,1.791759469228055,3.0,0.0,4.0,2.0,3.0,1.7320508075688772,2,2.0,2.0,2,0.7583100192238059,1.5,0.0,0,0,3.4,6.0,4.5,0,0.0,0.28800659501413184,1,0,0,0,0,0,6.600000000000001,15.0,0
7.976595409316577,31.0,0,670.0,26.0,5.0,15170.0,16.0,31.0,1.791759469228055,17.0,0.6931471805599453,1.3862943611198906,1.0,0.6931471805599453,1.0986122886681096,2.0,2.0,4.0,3.0,3.0,1.0,0,1.0,1.0,2,1.3294325682194295,0.0,5.58351893845611,0,0,2.4,9.0,4.6,0,0.7163940955676302,0.30687718307110123,0,0,0,0,0,1,14.4,0.0,4
7.886832998955057,34.0,0,1346.0,19.0,3.0,8758.0,18.0,93.0,1.0986122886681096,11.0,0.0,1.0986122886681096,2.0,0.6931471805599453,1.0986122886681096,3.0,1.0,3.0,3.0,4.0,1.4142135623730951,0,1.0,2.0,2,1.9717082497387644,0.0,2.0986122886681096,0,0,3.0999999999999996,12.0,2.9,0,0.4765053580405044,0.5764657737251826,0,0,0,0,0,1,5.400000000000002,0.0,4
